arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::91435473-d828-4e92-8573-6e80b7750ddf, 1601581295460, 1601581296407, 947, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::6700fbad-b983-499b-bf0b-a7b8465d35cf, 1601581295471, 1601581296407, 936, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::6700fbad-b983-499b-bf0b-a7b8465d35cf, 1601581295471, 1601581296407, 936, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::e580f393-fad9-4216-a7b5-5f27f1067f9f, 1601581295483, 1601581296407, 924, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::e580f393-fad9-4216-a7b5-5f27f1067f9f, 1601581295483, 1601581296408, 925, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a28e62fb-5b5d-427a-9af2-58dcde036f56, 1601581295493, 1601581296408, 915, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a28e62fb-5b5d-427a-9af2-58dcde036f56, 1601581295493, 1601581296408, 915, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::888d6471-daa1-4e60-b767-7ff4b2afa994, 1601581295500, 1601581296408, 908, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::888d6471-daa1-4e60-b767-7ff4b2afa994, 1601581295500, 1601581296408, 908, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::d5e22e0b-edb8-4538-9c3c-12e21370724f, 1601581295505, 1601581296408, 903, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::d5e22e0b-edb8-4538-9c3c-12e21370724f, 1601581295505, 1601581296408, 903, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::5b3d8472-8cd4-4dfd-a1ab-fd7aa7def098, 1601581295513, 1601581296408, 895, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::5b3d8472-8cd4-4dfd-a1ab-fd7aa7def098, 1601581295513, 1601581296408, 895, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::321b18dc-eb08-4273-aa76-31f90b015df2, 1601581295535, 1601581296408, 873, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::321b18dc-eb08-4273-aa76-31f90b015df2, 1601581295535, 1601581296408, 873, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::5c418a63-603b-4445-bdfb-a39efee6b0e2, 1601581295536, 1601581296408, 872, 40
